日本語;Romaji;Cara Baca;インドネシア語;Page;Furigana Segment
フロン;Furon;フロン;Freon, CFC, Chlorofluorocarbon;77;
環境;Kankyō;かんきょう;Lingkungan, Kondisi Lingkungan, Keadaan Lingkungan;77;環:かん|境:きょう
契約;Keiyaku;けいやく;Kontrak, Perjanjian, Kesepakatan;77;契:けい|約:やく
目処に;Medo ni;もどに;Perkiraan, Perkiraan Waktu, Target Waktu;77;目:め|処:ど
オーバーホール;Ōbāhōru;オーバーホール;Overhaul, Perbaikan Besar, Perawatan Besar;77;
蒸発;Jōhatsu;じょうはつ;Penguapan, Evaporasi, Penguapan Air;77;蒸:じょう|発:はつ
臭空;Shūkū;しゅうくう;Udara Berbau, Udara yang Bau, Udara dengan Bau Tidak Sedap;77;臭:しゅう|空:くう
吸収;Kyūshū;きゅうしゅう;Absorpsi, Penyerapan;77;吸:きゅう|収:しゅう
水蒸気;Suijōki;すいじょうき;Uap Air, Uap, Air Panas;77;
再生;Saisei;さいせい;Regenerasi, Pemulihan, Reproduksi;77;再:さい|生:せい
薄い;Usui;うすい;Tipis, Kurang Kuat, Lemah;77;薄:うす
ガスバーナー;Gasu Bānā;ガスばーなー;Pembakar Gas, Burner Gas;77;
加熱;Kanetsu;かねつ;Pemanasan, Pemanas;77;加:か|熱:ねつ
水分;Suibun;すいぶん;Kandungan Air, Kadar Air, Air;77;水:すい|分:ぶん
濃縮;Nōshuku;のうしゅく;Konsentrasi, Pengentalan, Pengurangan Volume;77;濃:のう|縮:しゅく
凝縮;Gyōshuku;ぎょうしゅく;Kondensasi, Pengembunan, Pengembunan Uap;77;凝:ぎょう|縮:しゅく
冷却塔;Reikyaku-tō;れいきゃくとう;Menara Pendingin, Cooling Tower;77;冷:れい|却:きゃく|塔:とう
元;Moto;もと;Asal, Sumber, Awal;77;元:もと
臭化リチウム溶液;Shūka Richiumu Yōeki;しゅうかりちうむようえき;Larutan Bromida Litium, Larutan Brominasi Litium;77;臭:しゅう|化:か|溶:よう|液:えき
冷却水;Reikyaku-sui;れいきゃくすい;Air Pendingin, Air Dingin;77;冷:れい|却:きゃく|水:すい
器内圧力;Kinai Atsuryoku;きないあつりょく;Tekanan Dalam Mesin, Tekanan Internal, Tekanan di Dalam;77;器:き|内:ない|圧:あつ|力:りょく
水蒸器;Suijōki;すいじょうき;Alat Penguap Air, Panci Uap, ;77;水:すい|蒸:じょう|器:き
濃い;Koi;こい;Kental, Pekat, Kuat;77;濃:こ
空調機;Kūchōki;くうちょうき;Alat Pengkondisi Udara, Air Conditioner;77;空:くう|調:ちょう|機:き
ガス吸収式冷温水発生機;Gasu Kyūshū-shiki Reionsui Hasseiki;ガスきゅうしゅうしきれいおんすいはっせいき;Mesin Pembuat Air Dingin dan Panas Tipe Absorpsi Gas, Mesin Pembuat Air Dingin dan Panas dengan Sistem Absorpsi Gas;77;吸:きゅう|収:しゅう|式:しき|冷:れい|温:おん|水:すい|発:はっ|生:せい|機:き
通る;Tōru;とおる;Melalui, Lewat, Lulus;77;通:とお
冷房;Reibō;れいぼう;Pendingin Ruangan, Air Conditioning, AC;77;冷:れい|房:ぼう
冷水;Reisui;れいすい;Air Dingin, Air Es, Air Dingin;77;冷:れい|水:すい
真空;Shinkū;しんくう;Vakum, Hampa Udara;77;真:しん|空:くう
冷凍;Reitō;れいとう;Pembekuan, Freezing;77;冷:れい|凍:とう
室内機;Shitsunai-ki;しつないき;Unit Dalam Ruangan, Unit Indoor;77;室:しつ|内:ない|機:き

冷却塔;Reikyaku-tō;れいきゃくとう;Menara Pendingin, Cooling Tower;81;冷:れい|却:きゃく|塔:とう
別名;Betsumei;べつめい;Nama Lain, Alias, Nama Panggilan;81;別:べつ|名:めい
クーリングタワー;Kūringu Tawā;クーリングタワー;Cooling Tower, Menara Pendingin;81;
上昇;Jōshō;じょうしょう;Kenaikan, Meningkat, Naik;81;上:じょう|昇:しょう
冷却水;Reikyaku-sui;れいきゃくすい;Air Pendingin, Air Dingin;81;冷:れい|却:きゃく|水:すい
性能;Seinō;せいのう;Kinerja, Performa, Kemampuan;81;性:せい|能:のう
発揮;Hakki;はっき;Menunjukkan, Memperlihatkan, Menampilkan;81;発:はっ|揮:き
数多く;Kazu ōku;かずおおく;Banyak, Beragam, Banyak Sekali;81;数:かず|多:おお
部品;Buhin;ぶひん;Komponen, Bagian, Suku Cadang;81;部:ぶ|品:ひん
役目;Yakume;やくめ;Peran, Tugas, Fungsi;81;役:やく|目:め
診断;Shindan;しんだん;Diagnosis, Pemeriksaan, Penilaian;81;診:しん|断:だん
シーズン;Shīzun;シーズン;Musim, Musim Panas, Musim Dingin;81;
終了;Shūryō;しゅうりょう;Selesai, Berakhir, Tamat;81;終:しゅう|了:りょう
水抜き;Mizunuki;みずぬき;Pengeringan, Pengosongan Air, Pengurasan Air;81;水:みず|抜:ぬ
防護;Bōgo;ぼうご;Perlindungan, Proteksi, Pertahanan;81;防:ぼう|護:ご
防塵;Bōjin;ぼうじん;Anti Debu, Perlindungan Debu, Tahan Debu;81;防:ぼう|塵:じん
対策;Taisaku;たいさく;Tindakan, Solusi, Langkah;81;対:たい|策:さく
施す;Hodokosu;ほどこす;Memberikan, Melakukan, Menerapkan;81;施:ほどこ
防錆処理;Bōsei Shori;ぼうせいしょり;Perlindungan Anti Karat, Perlakuan Anti Karat, Pengolahan Anti Karat;81;防:ぼう|錆:せい|処:しょ|理:り
実施する;Jisshi suru;じっしする;Melaksanakan, Menerapkan, Menjalankan;81;実:じっ|施:し
翌年;Yokutoshi;よくとし;Tahun Berikutnya, Tahun Depan;81;翌:よく|年:とし
過程;Katei;かてい;Proses, Tahapan, Perjalanan;81;過:か|程:てい
大気中;Taikichū;たいきちゅう;Di Atmosfer, Di Udara Terbuka;81;大:たい|気:き|中:ちゅう
接触する;Sesshoku suru;せっしょくする;Kontak, Bersentuhan, Menyentuh;81;接:せっ|触:しょく
外気;Gaiki;がいき;Udara Luar, Udara Eksternal, Udara di Luar;81;外:がい|気:き
粉塵;Funjin;ふんじん;Debu, Partikel, Serbuk;81;粉:ふん|塵:じん
有毒;Yūdoku;ゆうどく;Beracun, Berbahaya, Toksik;81;有:ゆう|毒:どく
入り込み;Irikomi;いりこみ;Masuk, Menyusup, Penetrasi;81;入:い|込:こ
汚染;Osen;おせん;Pencemaran, Kontaminasi, Polusi;81;汚:お|染:せん
機器;Kiki;きき;Peralatan, Mesin, Alat;81;機:き|器:き
傷める;Itameru;いためる;Merusak, Menyakiti, Membuat Rusak;81;傷:いた
死骸;Shigai;しがい;Bangkai, Mayat, Sisa;81;死:し|骸:がい
冷却管;Reikyaku-kan;れいきゃくかん;Pipa Pendingin, Pipa Dingin;81;冷:れい|却:きゃく|管:かん
詰まらせる;Tsumaraseru;つまらせる;Menyumbat, Membuat Tersumbat, Menyebabkan Tersumbat;81;詰:つ
水温;Suion;すいおん;Suhu Air, Temperatur Air;81;水:すい|温:おん
常に;Tsune ni;つねに;Selalu, Senantiasa, Terus Menerus;81;常:つね
高齢者;Kōreisha;こうれいしゃ;Lansia, Orang Tua, Senior;81;高:こう|齢:れい|者:しゃ
死亡率;Shibōritsu;しぼうりつ;Tingkat Kematian, Angka Kematian, Rasio Kematian;81;死:し|亡:ぼう|率:りつ
レジオネラ菌;Rejionera Kin;レジオネラきん;Bakteri Legionella, Kuman Legionella;81;菌:きん
レジオネラ症;Rejionera Shō;レジオネラしょう;Penyakit Legionella, Infeksi Legionella;81;症:しょう
繫殖源;Hanshokugen;はんしょくげん;Sumber Perkembangbiakan, Sumber Reproduksi, Sumber Pertumbuhan;81;繫:はん|殖:しょく|源:げん
水質分析;Suishitsu Bunseki;すいしつぶんせき;Analisis Kualitas Air, Analisis Air, Pengujian Kualitas Air;81;水:すい|質:しつ|分:ぶん|析:せき
水質管理;Suishitsu Kanri;すいしつかんり;Pengelolaan Kualitas Air, Manajemen Kualitas Air, Pengawasan Kualitas Air;81;水:すい|質:しつ|管:かん|理:り
配慮;Hairyo;はいりょ;Pertimbangan, Perhatian, Memperhatikan;81;配:はい|慮:りょ
向流型;Kōryū-gata;こうりゅうがた;Tipe Aliran Melawan, Tipe Aliran Berlawanan, Tipe Aliran Kontra;81;向:こう|流:りゅう|型:がた
直交流型;Chokkōryū-gata;ちょっこうりゅうがた;Tipe Aliran Langsung, Tipe Aliran Sejajar, Tipe Aliran Paralel;81;直:ちょっ|交:こう|流:りゅう|型:がた
接触方法;Sesshoku Hōhō;せっしょくほうほう;Metode Kontak, Cara Kontak, Metode Penyentuhan;81;接:せっ|触:しょく|方:ほう|法:ほう
充填材;Jūtenzai;じゅうてんざい;Bahan Pengisi, Material Pengisi, Bahan Isian;81;充:じゅう|填:てん|材:ざい
冷凍機;Reitōki;れいとうき;Mesin Pembeku, Freezer, Alat Pembekuan;81;冷:れい|凍:とう|機:き
仕組み;Shikumi;しくみ;Mekanisme, Sistem, Struktur;81;仕:し|組:く
丸型;Marugata;まるがた;Bentuk Bulat, Tipe Bulat, Model Bulat;81;丸:まる|型:がた
角型;Kakugata;かくがた;Bentuk Persegi, Tipe Persegi, Model Persegi;81;角:かく|型:がた
開放型冷却塔;Kaihō-gata Reikyaku-tō;かいほうがたれいきゃくとう;Menara Pendingin Tipe Terbuka, Cooling Tower Tipe Terbuka;81;開:かい|放:ほう|型:がた|冷:れい|却:きゃく|塔:とう

空気調和気;Kūki Chōwa-ki;くうきちょうわき;Alat Pengkondisi Udara, Air Conditioner;83;空:くう|気:き|調:ちょう|和:わ|機:き
湿度;Shitsudo;しつど;Kelembaban, Humidity;83;湿:しつ|度:ど
調整する;Chōsei suru;ちょうせいする;Menyesuaikan, Mengatur, Menyelaraskan;83;調:ちょう|整:せい
送風ダクト;Sōfū Dakuto;そうふうだくと;Saluran Udara, Ducting, Saluran Ventilasi;83;送:そう|風:ふう
送り出し;Okuridashi;おくりだし;Pengiriman, Pengeluaran, Pengantaran;83;送:おく|出:だ
再び;Futatabi;ふたたび;Sekali Lagi, Kembali, Lagi;83;再:ふたた
示す;Shimesu;しめす;Menunjukkan, Memperlihatkan, Menandakan;83;示:しめ
冷却;Reikyaku;れいきゃく;Pendinginan, Cooling;83;冷:れい|却:きゃく
加熱する;Kanetsu suru;かねつする;Memanaskan, Menghangatkan, Pemanasan;83;加:か|熱:ねつ
冷温水コイル;Reionsui Koiru;れいおんすいこいる;Koil Air Dingin dan Panas, Koil Pendingin dan Pemanas;83;冷:れい|温:おん|水:すい
送風機;Sōfūki;そうふうき;Blower, Kipas Angin, Penghembus Udara;83;送:そう|風:ふう|機:き
加湿装置;Kashitsu Sōchi;かしつそうち;Alat Pelembab, Humidifier, Perangkat Pelembab;83;加:か|湿:しつ|装:そう|置:ち
排水受け;Haisui Uke;はいすいうけ;Penampung Air Limbah, Bak Penampung Air Limbah, Tempat Penampungan Air Limbah;83;排:はい|水:すい|受:う
エアフィルター;Ea Firutā;エアフィルター;Filter Udara, Penyaring Udara;83;
構成;Kōsei;こうせい;Komposisi, Struktur, Susunan;83;構:こう|成:せい
ドレンパン;Doren Pan;ドレンパン;Pan Drainase, Bak Penampung Air, Wadah Penampung Air;83;
鋼板製;Kōhan-sei;こうはんせい;Terbuat dari Plat Baja, Terbuat dari Baja, Terbuat dari Plat Besi;83;鋼:こう|板:はん|製:せい
腐食;Fushoku;ふしょく;Korosi, Karat, Pengrusakan;83;腐:ふ|食:しょく
機内;Kinai;きない;Dalam Mesin, Di Dalam, Internal;83;機:き|内:ない
防錆処理;Bōsei Shori;ぼうせいしょり;Perlindungan Anti Karat, Perlakuan Anti Karat, Pengolahan Anti Karat;83;防:ぼう|錆:せい|処:しょ|理:り
排気ダンパー;Haiki Danpā;はいきダンパー;Damper Pembuangan, Damper Buang, Katup Pembuangan;83;排:はい|気:き
還気ダンパー;Kanki Danpā;かんきダンパー;Damper Sirkulasi, Damper Udara Sirkulasi, Katup Sirkulasi;83;還:かん|気:き
給気ダンパー;Kyūki Danpā;きゅうきダンパー;Damper Pasokan Udara, Damper Pemasukan Udara, Katup Pasokan Udara;83;給:きゅう|気:き
外気ダンパー;Gaiki Danpā;がいきダンパー;Damper Udara Luar, Damper Eksternal, Katup Udara Luar;83;外:がい|気:き
還風機;Kanpūki;かんぷうき;Sirkulator, Kipas Sirkulasi, Alat Sirkulasi Udara;83;還:かん|風:ぷう|機:き
給気;Kyūki;きゅうき;Pasokan Udara, Pemasukan Udara, Udara Masuk;83;給:きゅう|気:き
還気;Kanki;かんき;Sirkulasi Udara, Udara Sirkulasi, Udara yang Beredar;83;還:かん|気:き
冷水コイル;Reisui Koiru;れいすいこいる;Koil Air Dingin, Koil Pendingin;83;冷:れい|水:すい
温水コイル;Onsui Koiru;おんすいこいる;Koil Air Panas, Koil Pemanas;83;温:おん|水:すい
概要図;Gaiyōzu;がいようず;Diagram Umum, Skema Umum, Gambar Umum;83;概:がい|要:よう|図:ず

ヒートポンプ式空調機;Hīto Ponpu-shiki Kūchōki;ヒートポンプしきくうちょうき;Alat Pengkondisi Udara Tipe Heat Pump, Air Conditioner Tipe Heat Pump;87;式:しき|空:くう|調:ちょう|機:き
圧縮機;Asshuku-ki;あっしゅくき;Kompressor, Mesin Pemampat, Alat Pemampat;87;圧:あっ|縮:しゅく|機:き
駆動源;Kudōgen;くどうげん;Sumber Penggerak, Sumber Tenaga, Sumber Daya;87;駆:く|動:どう|源:げん
ガスエンジン駆動式;Gasu Enjin Kudō-shiki;ガスエンジンくどうしき;Tipe Penggerak Mesin Gas, Tipe Penggerak dengan Mesin Gas;87;駆:く|動:どう|式:しき
電動機駆動式;Dendōki Kudō-shiki;でんどうきくどうしき;Tipe Penggerak Motor Listrik, Tipe Penggerak dengan Motor Listrik;87;電:でん|動:どう|機:き|駆:く|動:どう
ガスヒートポンプ;Gasu Hīto Ponpu;ガスヒートポンプ;Heat Pump Gas, Pompa Panas Gas;87;
電気モーターヒートポンプ;Denki Mōtā Hīto Ponpu;でんきもーたーひーとぽんぷ;Heat Pump Motor Listrik, Pompa Panas Motor Listrik;87;電:でん|気:き
仕組み;Shikumi;しくみ;Mekanisme, Sistem, Struktur;87;仕:し|組:く
投入エネルギー;Tōnyū Enerugī;とうにゅうえねるぎー;Energi Masukan, Energi yang Dimasukkan, Energi Input;87;投:とう|入:にゅう
身;Mi;み;Badan, Diri, Tubuh;87;身:み
エコキュート;Ekokyūto;エコキュート;EcoCute, Sistem Pemanas Air Panas dengan Heat Pump, Sistem Pemanas Air Panas Ramah Lingkungan;87;
省エネ技術;Shōene Gijutsu;しょうえねぎじゅつ;Teknologi Hemat Energi, Teknologi Penghematan Energi, Teknologi Efisiensi Energi;87;省:しょう|技:ぎ|術:じゅつ
室外機;Shitsugaiki;しつがいき;Unit Luar Ruangan, Unit Outdoor;87;室:しつ|外:がい|機:き
室内機;Shitsunai-ki;しつないき;Unit Dalam Ruangan, Unit Indoor;87;室:しつ|内:ない|機:き
熱交換器;Netsu Kōkanki;ねつこうかんき;Penukar Panas, Heat Exchanger;87;熱:ねつ|交:こう|換:かん|器:き
排気ガス;Haiki Gasu;はいきがす;Gas Buang, Gas Sisa, Emisi Gas;87;排:はい|気:き
室外熱交換器;Shitsugaikōkanki;しつがいこうかんき;Penukar Panas Luar Ruangan, Heat Exchanger Eksternal;87;室:しつ|外:がい|熱:ねつ|交:こう|換:かん|器:き
居室;Kyoshitsu;きょしつ;Ruang Hunian, Ruang Tempat Tinggal, Ruang Keluarga;87;居:きょ|室:しつ
空調空気;Kūchō Kūki;くうちょうくうき;Udara Pengkondisi, Udara AC, Udara yang Dikondisikan;87;空:くう|調:ちょう|空:くう|気:き
供給;Kyōkyū;きょうきゅう;Pasokan, Penyediaan, Pemberian;87;供:きょう|給:きゅう

換気設備;Kanki Setsubi;かんきせつび;Peralatan Ventilasi, Sistem Ventilasi, Perlengkapan Ventilasi;89;換:かん|気:き|設:せつ|備:び
執務環境;Shitsumu Kankyō;しつむかんきょう;Lingkungan Kerja, Kondisi Kerja, Suasana Kerja;89;執:しつ|務:む|環:かん|境:きょう
整える;Totonoeru;ととのえる;Menata, Merapikan, Menyesuaikan;89;整:ととの
吸い込み;Suikomi;すいこみ;Penghisapan, Penyerapan, Menyedot;89;吸:す|込:こ
吐き出す;Hakidasu;はきだす;Meniup, Menghembuskan, Mengeluarkan;89;吐:は|出:だ
いわゆる;Iwayuru;いわゆる;Yang Dikatakan, Yang Disebut, Yang Umum Dikenal;89;
換気;Kanki;かんき;Ventilasi, Pengudaraan, Sirkulasi Udara;89;換:かん|気:き
きちんと;Kichinto;きちんと;Rapi, Teratur, Tertib;89;きちんと
近年;Kinnen;きんねん;Beberapa Tahun Terakhir, Tahun-tahun Terakhir, Baru-baru ini;89;近:きん|年:ねん
吐き気;Hakike;はきけ;Mual, Rasa Mual, Rasa Muntah;89;吐:は|気:け
喉;Nodo;のど;Tenggorokan, Leher, Kerongkongan;89;喉:のど
不調;Fuchō;ふちょう;Tidak Sehat, Tidak Berfungsi dengan Baik, Gangguan;89;不:ふ|調:ちょう
訴える;Uttaeru;うったえる;Mengeluh, Menyampaikan, Mengajukan Keluhan;89;訴:うった
適切な;Tekisetsu na;てきせつな;Tepat, Sesuai, Cocok;89;適:てき|切:せつ
心懸ける;Kokorogake ru;こころがける;Berusaha, Berupaya, Memperhatikan;89;心:こころ|懸:が
法的に;Hōteki ni;ほうてきに;Secara Hukum, Secara Legal, Secara Resmi;89;法:ほう|的:てき
建築基準法;Kenchiku Kijun Hō;けんちくきじゅんほう;Undang-Undang Standar Bangunan, Hukum Standar Konstruksi, Peraturan Bangunan;89;建:けん|築:ちく|基:き|準:じゅん|法:ほう
居室;Kyoshitsu;きょしつ;Ruang Hunian, Ruang Tempat Tinggal, Ruang Keluarga;89;居:きょ|室:しつ
義務;Gimu;ぎむ;Kewajiban, Tanggung Jawab, Kewajiban Hukum;89;義:ぎ|務:む
規模;Kibo;きぼ;Skala, Ukuran, Besar;89;規:き|模:ぼ
構造;Kōzō;こうぞう;Struktur, Konstruksi, Bangunan;89;構:こう|造:ぞう
手法;Shuhō;しゅほう;Metode, Cara, Teknik;89;手:しゅ|法:ほう
便所;Benjo;べんじょ;Toilet, Kamar Mandi, WC;89;便:べん|所:じょ
湯沸室;Yuwakashitsu;ゆわかしつ;Ruang Pemanas Air, Ruang Ketel, Ruang Boiler;89;湯:ゆ|沸:わか|室:しつ
臭気;Shūki;しゅうき;Bau, Aroma, Bau Tidak Sedap;89;臭:しゅう|気:き
燃焼;Nenshō;ねんしょう;Pembakaran, Pembakaran, Proses Pembakaran;89;燃:ねん|焼:しょう
籠る;Komoru;こもる;Terkurung, Terperangkap, Bersembunyi;89;籠:こも
排風機;Haifūki;はいふうき;Exhaust Fan, Kipas Pembuangan, Alat Penghisap Udara;89;排:はい|風:ふう|機:き
内部;Naibu;ないぶ;Bagian Dalam, Internal, Di Dalam;89;内:ない|部:ぶ
埃;Hokori;ほこり;Debu, Serbuk, Kotoran;89;埃:ほこり
付着;Fuchaku;ふちゃく;Menempel, Melekat, Terpasang;89;付:ふ|着:ちゃく
能力;Nōryoku;のうりょく;Kemampuan, Kapasitas, Kekuatan;89;能:のう|力:りょく
木造建築物;Mokuzō Kenchikubutsu;もくぞうけんちくぶつ;Bangunan Kayu, Konstruksi Kayu, Struktur Kayu;89;木:もく|造:ぞう|建:けん|築:ちく|物:ぶつ
床下換気口;Yukashita Kankikō;ゆかしたかんきこう;Ventilasi Bawah Lantai, Lubang Ventilasi Bawah Lantai, Ventilasi di Bawah Lantai;89;床:ゆか|下:した|換:かん|気:き|口:こう
湿っている;Shimette iru;しめっている;Basah, Lembab, Berair;89;湿:しめ
適宜開放;Tekigi Kaihō;てきぎかいほう;Membuka Sesuai Kebutuhan, Membuka Secara Tepat, Membuka Sesuai Keperluan;89;適:てき|宜:ぎ|開:かい|放:ほう
給気;Kyūki;きゅうき;Pasokan Udara, Pemasukan Udara, Udara Masuk;89;給:きゅう|気:き
機械換気;Kikai Kanki;きかいかんき;Ventilasi Mekanik, Ventilasi dengan Mesin, Sistem Ventilasi Mekanis;89;機:き|械:かい|換:かん|気:き
排気;Haiki;はいき;Pembuangan, Buang, Emisi;89;排:はい|気:き
自然換気;Shizen Kanki;しぜんかんき;Ventilasi Alami, Ventilasi dengan Cara Alami, Sistem Ventilasi Alami;89;自:し|然:ぜん|換:かん|気:き
種換気;Shu Kanki;しゅかんき;Ventilasi Tipe, Ventilasi Jenis, Tipe Ventilasi;89;種:しゅ|換:かん|気:き
給気換気;Kyūki Kanki;きゅうきかんき;Ventilasi Pasokan Udara, Ventilasi Pemasukan Udara, Ventilasi Udara Masuk;89;給:きゅう|気:き|換:かん|気:き
機械排気;Kikai Haiki;きかいはいき;Pembuangan Mekanik, Pembuangan dengan Mesin, Sistem Pembuangan Mekanis;89;機:き|械:かい|排:はい|気:き
風量;Fūryō;ふうりょう;Volume Udara, Aliran Udara, Jumlah Udara;89;風:ふう|量:りょう
自然排気;Shizen Haiki;しぜんはいき;Pembuangan Alami, Pembuangan dengan Cara Alami, Sistem Pembuangan Alami;89;自:し|然:ぜん|排:はい|気:き
方式;Hōshiki;ほうしき;Metode, Sistem, Cara;89;方:ほう|式:しき
侵入;Shinnyū;しんにゅう;Penyusupan, Masuk, Penetrasi;89;侵:しん|入:にゅう
環境;Kankyō;かんきょう;Lingkungan, Kondisi Lingkungan, Keadaan Lingkungan;89;環:かん|境:きょう
空間;Kūkan;くうかん;Ruang, Area, Tempat;89;空:くう|間:かん
水蒸気;Suijōki;すいじょうき;Uap Air, Uap, Air Panas;89;水:すい|蒸:じょう|気:き
排出する;Haishutsu suru;はいしゅつする;Membuang, Mengeluarkan, Mengemisikan;89;排:はい|出:しゅつ

屋内消火栓設備;Okunai Shōkasen Setsubi;おくないしょうかせんせつび;Peralatan Hydrant Dalam Ruangan, Sistem Hydrant Indoor, Perlengkapan Pemadam Kebakaran Dalam Ruangan;95;屋:おく|内:ない|消:しょう|火:か|栓:せん|設:せつ|備:び
消火器;Shōkaki;しょうかき;Alat Pemadam Kebakaran, Pemadam Api, Fire Extinguisher;95;消:しょう|火:か|器:き
火災;Kasai;かさい;Kebakaran, Api, Bencana Kebakaran;95;火:か|災:さい
消防隊;Shōbōtai;しょうぼうたい;Pemadam Kebakaran, Tim Pemadam Kebakaran, Regu Pemadam Kebakaran;95;消:しょう|防:ぼう|隊:たい
到着;Tōchaku;とうちゃく;Kedatangan, Tiba, Sampai;95;到:とう|着:ちゃく
消火活動;Shōka Katsudō;しょうかかつどう;Aktivitas Pemadam Kebakaran, Kegiatan Memadamkan Api, Operasi Pemadam Kebakaran;95;消:しょう|火:か|活:かつ|動:どう
法令;Hōrei;ほうれい;Peraturan, Undang-Undang, Hukum;95;法:ほう|令:れい
定期点検;Teiki Tenken;ていきてんけん;Pemeriksaan Berkala, Inspeksi Rutin, Pemeriksaan Periodik;95;定:てい|期:き|点:てん|検:けん
定める;Sadameru;さだめる;Menetapkan, Menentukan, Mengatur;95;定:さだ
備える;Sonaeru;そなえる;Mempersiapkan, Menyediakan, Melengkapi;95;備:そな
実施訓練;Jisshi Kunren;じっしくんれん;Latihan Pelaksanaan, Latihan Praktik, Latihan Operasional;95;実:じっ|施:し|訓:くん|練:れん
普段;Fudan;ふだん;Biasanya, Sehari-hari, Normal;95;普:ふ|段:だん
建物規模;Tatemono Kibo;たてものきぼ;Skala Bangunan, Ukuran Bangunan, Besar Bangunan;95;建:たて|物:もの|規:き|模:ぼ
比較的;Hikakuteki;ひかくてき;Relatif, Cukup, Agak;95;比:ひ|較:かく|的:てき
加圧送水装置;Kaatsu Sōsui Sōchi;かあつそうすいそうち;Peralatan Penyemprotan Air Bertekanan, Sistem Penyemprotan Air Bertekanan, Alat Semprot Air Bertekanan;95;加:か|圧:あっ|送:そう|水:すい|装:そう|置:ち
消火水槽;Shōka Suisō;しょうかすいそう;Tangki Air Pemadam, Wadah Air Pemadam, Bak Air Pemadam;95;消:しょう|火:か|水:すい|槽:そう
消火栓箱;Shōkasen Bako;しょうかせんばこ;Kotak Hydrant, Kotak Pemadam Kebakaran, Box Hydrant;95;消:しょう|火:か|栓:せん|箱:ばこ
配管;Haikan;はいかん;Pipa, Perpipaan, Saluran Pipa;95;配:はい|管:かん
構成;Kōsei;こうせい;Komposisi, Struktur, Susunan;95;構:こう|成:せい
屋内消火栓;Okunai Shōkasen;おくないしょうかせん;Hydrant Dalam Ruangan, Hydrant Indoor, Pemadam Kebakaran Dalam Ruangan;95;屋:おく|内:ない|消:しょう|火:か|栓:せん
易操作性;I Sōsa-sei;いそうさせい;Kemudahan Pengoperasian, Kemudahan Penggunaan, User-Friendly;95;易:い|操:そう|作:さ|性:せい
放水;Hōsui;ほうすい;Penyemprotan Air, Pengeluaran Air, Aliran Air;95;放:ほう|水:すい
作業;Sagyou;さぎょう;Pekerjaan, Tugas, Operasi;95;作:さ|業:ぎょう
向上;Kōjō;こうじょう;Peningkatan, Perbaikan, Kemajuan;95;向:こう|上:じょう
操作;Sōsa;そうさ;Pengoperasian, Operasi, Cara Menggunakan;95;操:そう|作:さ
放水量;Hōsui-ryō;ほうすいりょう;Volume Penyemprotan Air, Jumlah Air yang Disemprotkan, Aliran Air;95;放:ほう|水:すい|量:りょう
扱う;Atsukau;あつかう;Menangani, Mengelola, Memperlakukan;95;扱:あつか
初期消火;Shoki Shōka;しょきしょうか;Pemadaman Awal, Pemadam Kebakaran Awal, Penanganan Kebakaran Awal;95;初:しょ|期:き|消:しょう|火:か
酸素;Sansō;さんそう;Oksigen, Gas Oksigen;95;酸:さん|素:そう
供給源;Kyōkyūgen;きょうきゅうげん;Sumber Pasokan, Sumber Penyediaan, Sumber Pemberian;95;供:きょう|給:きゅう|源:げん
断つ室息効果;Tatsushitsu Soku Kōka;たつしつそくこうか;Efek Pemadaman dengan Menutup Ruangan, Efek Memadamkan dengan Menutup Ruangan, Efek Pemadaman dengan Mengisolasi Ruangan;95;断:た|つ|室:しつ|息:そく|効果:こうか
点火源;Tenka Gen;てんかげん;Sumber Api, Sumber Penyulut, Sumber Pembakaran;95;点:てん|火:か|源:げん
消減する;Shōgen suru;しょうげんする;Mengurangi, Menurunkan, Memadamkan;95;消:しょう|減:げん
冷却効果;Reikyaku Kōka;れいきゃくこうか;Efek Pendinginan, Efek Dingin, Efek Cooling;95;冷:れい|却:きゃく|効:こう|果:か
燃焼;Nenshō;ねんしょう;Pembakaran, Proses Pembakaran, Pembakaran;95;燃:ねん|焼:しょう
連射反応;Rensha Hanno;れんしゃはんのう;Reaksi Berantai, Reaksi Beruntun, Reaksi Berturut-turut, Reaksi Berulang;95;連:れん|射:しゃ|反:はん|応:のう
抑える;Osaeru;おさえる;Menekan, Mengendalikan, Mengurangi;95;抑:おさ
抑制効果;Yokusei Kōka;よくせいこうか;Efek Pengendalian, Efek Penekanan, Efek Pembatasan;95;抑:よく|制:せい|効:こう|果:か
応用;Ōyō;おうよう;Aplikasi, Penerapan, Penggunaan;95;応:おう|用:よう
普及する;Fukyū suru;ふきゅうする;Menyebar, Menyebarluaskan, Memasyarakatkan;95;普:ふ|及:きゅう
粉末消火器;Funmatsu Shōkaki;ふんまつしょうかき;Alat Pemadam Kebakaran Serbuk, Powder Fire Extinguisher, Alat Pemadam Api Serbuk;95;粉:ふん|末:まつ|消:しょう|火:か|器:き
粉末消火剤;Funmatsu Shōkazai;ふんまつしょうかざい;Bahan Pemadam Kebakaran Serbuk, Bahan Pemadam Api Serbuk, Serbuk Pemadam Kebakaran;95;粉:ふん|末:まつ|消:しょう|火:か|剤:ざい
熱分解;Netsu Bunkai;ねつぶんかい;Pirolisis, Degradasi Termal, Penguraian Panas;95;熱:ねつ|分:ぶん|解:かい
